======================================================================
REFCOCO+ (spatial forbidden by design)   spatial n=47 of 500
======================================================================
  miss iou=0.00  patch  | guy holding purp umbrella in corner near us  | ['corner', 'near']
  miss iou=0.00  patch  | blue car in back of the man with hat         | ['back']
  miss iou=0.02  patch  | red shirt player next to striped shirt guy   | ['next to']
  miss iou=0.03  patch  | batter closest to pole                       | ['closest']
  miss iou=0.01  patch  | middle player                                | ['middle']
  miss iou=0.00  error  | closest red shirt on side                    | ['closest', 'side']
  miss iou=0.00  error  | corner person                                | ['corner']
  miss iou=0.00  patch  | middle person                                | ['middle']
  miss iou=0.03  patch  | man closest to you                           | ['closest']
  miss iou=0.00  error  | without dog between legs                     | ['between']
  miss iou=0.00  error  | blue jeans around dog                        | ['around']
  miss iou=0.00  patch  | south eastern corner                         | ['corner']
  miss iou=0.00  patch  | man looking back walking in suit             | ['back']
  miss iou=0.00  error  | man standing with his side to us             | ['side']
  miss iou=0.00  error  | person facing sideways black clothing        | ['facing']
  miss iou=0.00  patch  | man closest to us facing back looks like hes | ['back', 'closest', 'facing']
  miss iou=0.00  error  | player 3 with back turned hand in air        | ['back']
  miss iou=0.00  error  | surfer closest to us                         | ['closest']
  miss iou=0.00  error  | surfer closest                               | ['closest']
  miss iou=0.00  error  | man closer                                   | ['closer']
  miss iou=0.00  error  | nearest guy                                  | ['nearest']
  HIT  iou=0.97  patch  | umpire behind cathcer                        | ['behind']
  miss iou=0.00  patch  | the one facing caseys face                   | ['facing']
  miss iou=0.00  error  | white shirt boy near the one in plaid        | ['near']
  miss iou=0.19  patch  | woman between man and dark hair woman        | ['between']
  miss iou=0.00  error  | the blond girl next to man and women in maro | ['next to']
  HIT  iou=0.96  patch  | you suck at this game girl closest to hydran | ['closest']
  miss iou=0.00  patch  | black shirt writing on back                  | ['back']
  miss iou=0.00  error  | man with glasses in long sleeved gray shirt  | ['side']
  miss iou=0.00  patch  | guy back to us completely facing away        | ['back', 'facing']
  miss iou=0.26  patch  | back with green letters                      | ['back']
  miss iou=0.46  patch  | man behind other man                         | ['behind']
  miss iou=0.00  error  | black luggage on the side                    | ['side']
  miss iou=0.00  patch  | man in black with sash over shoulder         | ['over']
  miss iou=0.31  patch  | lady on 300 side                             | ['side']
  miss iou=0.00  patch  | back wearing black coat                      | ['back']
  miss iou=0.00  error  | big ole ass bending over out of frame with d | ['over']
  miss iou=0.06  patch  | persons behind                               | ['behind']
  miss iou=0.32  patch  | lading wearing scrarf around neck            | ['around']
  miss iou=0.00  error  | nearest guy                                  | ['nearest']
  miss iou=0.00  patch  | with hands bhind back                        | ['back']
  HIT  iou=0.92  patch  | farthest man                                 | ['farthest']
  miss iou=0.08  patch  | woman walking along side with man            | ['side']
  miss iou=0.25  patch  | blurry woman in back                         | ['back']
  miss iou=0.00  error  | closest blue shirt gut light hair            | ['closest']
  miss iou=0.00  error  | closest head straight brown hair             | ['closest']
  miss iou=0.00  error  | closest head darker hair and not curly       | ['closest']

======================================================================
REFCOCO (spatial allowed)   spatial n=289 of 500
======================================================================
  miss iou=0.23  patch  | person bottom left                           | ['left']
  miss iou=0.00  patch  | left black shirt                             | ['left']
  miss iou=0.00  patch  | man on right                                 | ['right']
  miss iou=0.00  patch  | right man                                    | ['right']
  miss iou=0.00  patch  | person on left of bench                      | ['left']
  miss iou=0.00  patch  | person on left yellow boots                  | ['left']
  miss iou=0.00  patch  | person left                                  | ['left']
  HIT  iou=0.88  patch  | blue car right                               | ['right']
  HIT  iou=0.92  patch  | white car left                               | ['left']
  miss iou=0.32  patch  | left car                                     | ['left']
  miss iou=0.00  patch  | man on far left on screen                    | ['far', 'left']
  miss iou=0.00  patch  | man left cut off                             | ['left']
  miss iou=0.00  patch  | man front center                             | ['center', 'front']
  miss iou=0.00  error  | left                                         | ['left']
  miss iou=0.00  patch  | guy on right                                 | ['right']
  miss iou=0.00  patch  | right guy                                    | ['right']
  miss iou=0.06  patch  | lady middle pink                             | ['middle']
  miss iou=0.00  patch  | the old lady in between the players          | ['between']
  HIT  iou=0.93  patch  | guy on left of screen red shirt              | ['left']
  miss iou=0.07  patch  | guy in back left red shirt                   | ['back', 'left']
  HIT  iou=0.93  patch  | guy in red on left                           | ['left']
  miss iou=0.00  error  | left guy organge                             | ['left']
  miss iou=0.01  patch  | guy on the left with the bat                 | ['left']
  HIT  iou=0.94  patch  | baseball batter on the right                 | ['right']
  miss iou=0.03  patch  | right player                                 | ['right']
  HIT  iou=0.55  patch  | body of guy in back                          | ['back']
  HIT  iou=0.56  patch  | were no good at this today lolguy top        | ['top']
  HIT  iou=0.95  patch  | front kid                                    | ['front']
  miss iou=0.02  patch  | right baby                                   | ['right']
  HIT  iou=0.54  patch  | left kid                                     | ['left']
  HIT  iou=0.61  patch  | baby on left                                 | ['left']
  HIT  iou=0.64  patch  | right batter                                 | ['right']
  HIT  iou=0.93  patch  | right player                                 | ['right']
  miss iou=0.00  patch  | right man                                    | ['right']
  miss iou=0.00  patch  | left man                                     | ['left']
  HIT  iou=0.96  patch  | guy on left                                  | ['left']
  miss iou=0.22  patch  | middle guy                                   | ['middle']
  miss iou=0.22  patch  | middle guy                                   | ['middle']
  miss iou=0.00  patch  | middle                                       | ['middle']
  HIT  iou=0.53  patch  | left person                                  | ['left']
  miss iou=0.46  patch  | left kid                                     | ['left']
  miss iou=0.00  patch  | dad right                                    | ['right']
  miss iou=0.00  patch  | adult male center right                      | ['center', 'right']
  miss iou=0.02  patch  | blondie right                                | ['right']
  miss iou=0.02  patch  | girl right                                   | ['right']
  miss iou=0.11  patch  | woman on far right                           | ['far', 'right']
  miss iou=0.11  patch  | right woman                                  | ['right']
  miss iou=0.39  patch  | middle kid                                   | ['middle']
  miss iou=0.07  patch  | red middle                                   | ['middle']
  miss iou=0.00  patch  | middle person                                | ['middle']
  miss iou=0.02  patch  | girl sitting on left gray hoodie             | ['left']
  miss iou=0.17  patch  | middle player                                | ['middle']
  miss iou=0.00  patch  | middle standing player                       | ['middle']
  miss iou=0.17  patch  | middle man                                   | ['middle']
  miss iou=0.18  patch  | player on right of the three in front        | ['in front', 'right']
  miss iou=0.00  patch  | man on right                                 | ['right']
  miss iou=0.00  error  | right player in front                        | ['in front', 'right']
  miss iou=0.00  patch  | standing man on left                         | ['left']
  miss iou=0.00  patch  | left smiling man                             | ['left']
  miss iou=0.00  patch  | left guy                                     | ['left']
  miss iou=0.00  patch  | left skier not center                        | ['center', 'left']
  miss iou=0.00  patch  | left person                                  | ['left']
  miss iou=0.23  patch  | skier far right                              | ['far', 'right']
  HIT  iou=0.96  patch  | guy on the right                             | ['right']
  HIT  iou=0.96  patch  | right person                                 | ['right']
  miss iou=0.06  patch  | guy in middle                                | ['middle']
  miss iou=0.23  patch  | middle person blue vest                      | ['middle']
  miss iou=0.00  error  | dude back on bench                           | ['back']
  miss iou=0.00  patch  | guy sitting left                             | ['left']
  miss iou=0.00  patch  | a man on the right without the dog           | ['right']
  HIT  iou=0.53  patch  | jeans no dog under                           | ['under']
  miss iou=0.03  patch  | idk my left from my right apparently jeans o | ['left', 'right']
  miss iou=0.00  patch  | the person on the left                       | ['left']
  miss iou=0.01  patch  | left person                                  | ['left']
  miss iou=0.00  patch  | guy left                                     | ['left']
  miss iou=0.07  patch  | woman in middle on tight                     | ['middle']
  miss iou=0.00  error  | lady in the middle on far side of table with | ['far', 'middle', 'side']
  HIT  iou=0.95  patch  | woman right                                  | ['right']
  miss iou=0.09  patch  | woman left front of pic                      | ['front', 'left']
  miss iou=0.00  patch  | girl in front right with hair up             | ['in front', 'right']
  miss iou=0.20  patch  | right girl with back to us                   | ['back', 'right']
  miss iou=0.00  error  | woman corner lower right                     | ['corner', 'right']
  HIT  iou=0.97  patch  | man left striped shirt                       | ['left']
  miss iou=0.15  patch  | person on left in striped shirt              | ['left']
  HIT  iou=0.98  patch  | guy on left                                  | ['left']
  HIT  iou=0.97  patch  | left man                                     | ['left']
  HIT  iou=0.96  patch  | man on right in black suit                   | ['right']
  HIT  iou=0.89  patch  | wwoman on right holding phone                | ['right']
  HIT  iou=0.96  patch  | left man                                     | ['left']
  HIT  iou=0.96  patch  | left guy                                     | ['left']
  miss iou=0.00  patch  | in front woman                               | ['in front']
  miss iou=0.00  patch  | woman in front                               | ['in front']
  miss iou=0.00  patch  | girl front                                   | ['front']
  miss iou=0.09  patch  | black area far right bottom                  | ['far', 'right']
  miss iou=0.00  patch  | bottom right                                 | ['right']
  miss iou=0.09  patch  | right bottom partial black                   | ['right']
  miss iou=0.14  patch  | right person 160                             | ['right']
  miss iou=0.05  patch  | front skier 110                              | ['front']
  miss iou=0.00  patch  | skier in front                               | ['in front']
  miss iou=0.18  patch  | lady in black fourth from left               | ['left']
  miss iou=0.36  patch  | left lady in brown dress                     | ['left']
  miss iou=0.00  patch  | second in from left                          | ['left']
  miss iou=0.00  error  | girl with black shirt and jean capris in the | ['center', 'front']
  miss iou=0.00  patch  | middle girl black tee jeans                  | ['middle']
  miss iou=0.00  error  | center girl jeans                            | ['center']
  HIT  iou=0.97  patch  | left person                                  | ['left']
  HIT  iou=0.95  patch  | the excited person in white on the left boy  | ['left']
  miss iou=0.00  patch  | left in white person                         | ['left']
  miss iou=0.14  patch  | far right woman                              | ['far', 'right']
  miss iou=0.14  patch  | woman far right                              | ['far', 'right']
  miss iou=0.14  patch  | lady far right                               | ['far', 'right']
  miss iou=0.04  patch  | person on right side                         | ['right', 'side']
  HIT  iou=0.95  patch  | guy on right turning to look at geishas      | ['right']
  miss iou=0.04  patch  | right guy                                    | ['right']
  miss iou=0.00  patch  | man front left                               | ['front', 'left']
  miss iou=0.42  patch  | second person from left                      | ['left']
  HIT  iou=0.57  patch  | woman on right                               | ['right']
  HIT  iou=0.79  patch  | woman in black standing next to man          | ['next to']
  HIT  iou=0.57  patch  | woman right                                  | ['right']
  HIT  iou=0.95  patch  | man next to woman                            | ['next to']
  HIT  iou=0.56  patch  | man right                                    | ['right']
  HIT  iou=0.90  patch  | guy in collared tee in back                  | ['back']
  miss iou=0.06  patch  | guy in the center most to the front          | ['center', 'front']
  miss iou=0.00  patch  | guy in middle front                          | ['front', 'middle']
  miss iou=0.00  patch  | center person                                | ['center']
  miss iou=0.23  patch  | guy farthest left                            | ['farthest', 'left']
  miss iou=0.22  patch  | far left guy                                 | ['far', 'left']
  miss iou=0.00  error  | guy all the way right in front               | ['in front', 'right']
  miss iou=0.00  patch  | second guy from right to left                | ['left', 'right']
  miss iou=0.00  error  | youngest looking old guy on right            | ['right']
  HIT  iou=0.72  patch  | person third from the left whos putting his  | ['left']
  miss iou=0.00  patch  | player facing right with hand up             | ['facing', 'right']
  miss iou=0.31  patch  | second guy on right                          | ['right']
  miss iou=0.44  patch  | right dude                                   | ['right']
  miss iou=0.00  patch  | guy on right not left right                  | ['left', 'right']
  miss iou=0.38  patch  | left surfer                                  | ['left']
  HIT  iou=0.89  patch  | person left                                  | ['left']
  HIT  iou=0.53  patch  | left guy                                     | ['left']
  miss iou=0.00  error  | guy in back                                  | ['back']
  miss iou=0.00  patch  | legs back                                    | ['back']
  miss iou=0.12  patch  | woman on very left with arm raised           | ['left']
  miss iou=0.00  patch  | girl lowerleft corner                        | ['corner']
  miss iou=0.01  patch  | woman far right with phone                   | ['far', 'right']
  miss iou=0.00  patch  | right woman                                  | ['right']
  miss iou=0.00  patch  | woman right raised arm                       | ['right']
  miss iou=0.00  patch  | redhead center                               | ['center']
  miss iou=0.00  patch  | woman middle white shades                    | ['middle']
  HIT  iou=0.74  patch  | left person                                  | ['left']
  HIT  iou=0.96  patch  | front guy on ski lift                        | ['front']
  HIT  iou=0.58  patch  | man on right                                 | ['right']
  HIT  iou=0.91  patch  | boy on the left                              | ['left']
  HIT  iou=0.95  patch  | person on left                               | ['left']
  HIT  iou=0.98  patch  | guy on right                                 | ['right']
  HIT  iou=0.57  patch  | man on the left                              | ['left']
  miss iou=0.00  patch  | right gal                                    | ['right']
  miss iou=0.00  error  | top snowboarder in plaid                     | ['top']
  HIT  iou=0.93  patch  | dude in back                                 | ['back']
  miss iou=0.01  patch  | top guy                                      | ['top']
  HIT  iou=0.96  patch  | left girl                                    | ['left']
  HIT  iou=0.96  patch  | left girl                                    | ['left']
  HIT  iou=0.96  patch  | left girl                                    | ['left']
  miss iou=0.01  patch  | right person                                 | ['right']
  miss iou=0.06  patch  | catcher on left                              | ['left']
  HIT  iou=0.98  patch  | player far left                              | ['far', 'left']
  HIT  iou=0.98  patch  | left player                                  | ['left']
  miss iou=0.00  patch  | robertson on right                           | ['right']
  miss iou=0.01  patch  | right person                                 | ['right']
  miss iou=0.00  patch  | middle one                                   | ['middle']
  miss iou=0.00  patch  | person on right front in gray                | ['front', 'right']
  miss iou=0.00  patch  | gal gray shirt right                         | ['right']
  miss iou=0.01  patch  | gray shirt on the right                      | ['right']
  miss iou=0.00  patch  | man second from left in front with backpack  | ['in front', 'left']
